filename,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,label,filepath
Z15_jpg.rf.01dae2ff4bb13d57fb3555e92eeb4778.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Z,./American Sign Language Letters.v1-v1.multiclass/train/Z15_jpg.rf.01dae2ff4bb13d57fb3555e92eeb4778.jpg
D6_jpg.rf.01867634b70d3f9ea5adbb09d9643830.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,./American Sign Language Letters.v1-v1.multiclass/train/D6_jpg.rf.01867634b70d3f9ea5adbb09d9643830.jpg
F28_jpg.rf.01de9888a0d78bebc1fbb6b841fdef6e.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,./American Sign Language Letters.v1-v1.multiclass/train/F28_jpg.rf.01de9888a0d78bebc1fbb6b841fdef6e.jpg
O1_jpg.rf.01eb8369467a4e02535411288eef34f7.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,./American Sign Language Letters.v1-v1.multiclass/train/O1_jpg.rf.01eb8369467a4e02535411288eef34f7.jpg
J34_jpg.rf.0263901188a9de96c9bca11274a772ab.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,./American Sign Language Letters.v1-v1.multiclass/train/J34_jpg.rf.0263901188a9de96c9bca11274a772ab.jpg
J2_jpg.rf.01f65b3db913fe28c20d99cf89124c9f.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,./American Sign Language Letters.v1-v1.multiclass/train/J2_jpg.rf.01f65b3db913fe28c20d99cf89124c9f.jpg
T6_jpg.rf.02bb707b9ac0fb76c97517ccf4f47ab4.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,T,./American Sign Language Letters.v1-v1.multiclass/train/T6_jpg.rf.02bb707b9ac0fb76c97517ccf4f47ab4.jpg
E21_jpg.rf.02bd3a1ec0e99694816e883b8de32942.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,./American Sign Language Letters.v1-v1.multiclass/train/E21_jpg.rf.02bd3a1ec0e99694816e883b8de32942.jpg
S25_jpg.rf.02bfc4e839ba3b795c16dc1a21f958dc.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,./American Sign Language Letters.v1-v1.multiclass/train/S25_jpg.rf.02bfc4e839ba3b795c16dc1a21f958dc.jpg
H10_jpg.rf.02fd419c4bf7c570ee19d8813124842d.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,./American Sign Language Letters.v1-v1.multiclass/train/H10_jpg.rf.02fd419c4bf7c570ee19d8813124842d.jpg
T22_jpg.rf.02e1fc73db34427a44a8888dc77003c6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,T,./American Sign Language Letters.v1-v1.multiclass/train/T22_jpg.rf.02e1fc73db34427a44a8888dc77003c6.jpg
W10_jpg.rf.031532ad7d9f4f1dd1636c2497ba7b40.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,W,./American Sign Language Letters.v1-v1.multiclass/train/W10_jpg.rf.031532ad7d9f4f1dd1636c2497ba7b40.jpg
I10_jpg.rf.031d497a63d112e07bdbe603fe3d1c1a.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,./American Sign Language Letters.v1-v1.multiclass/train/I10_jpg.rf.031d497a63d112e07bdbe603fe3d1c1a.jpg
H28_jpg.rf.03600eb345a61fbd4c2af1f068f8be57.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,./American Sign Language Letters.v1-v1.multiclass/train/H28_jpg.rf.03600eb345a61fbd4c2af1f068f8be57.jpg
C2_jpg.rf.03a70718529b1e03561c20c91c2ce616.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,./American Sign Language Letters.v1-v1.multiclass/train/C2_jpg.rf.03a70718529b1e03561c20c91c2ce616.jpg
T10_jpg.rf.03c9848b08c3ed3a90ab61ab89989920.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,T,./American Sign Language Letters.v1-v1.multiclass/train/T10_jpg.rf.03c9848b08c3ed3a90ab61ab89989920.jpg
E15_jpg.rf.0424ab069f07383610fa481f78102605.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,./American Sign Language Letters.v1-v1.multiclass/train/E15_jpg.rf.0424ab069f07383610fa481f78102605.jpg
L23_jpg.rf.0418069709eebdee55bc946fa4080bc1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,./American Sign Language Letters.v1-v1.multiclass/train/L23_jpg.rf.0418069709eebdee55bc946fa4080bc1.jpg
C6_jpg.rf.05217144d8c28d1ff7f060bf3210ed2d.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,./American Sign Language Letters.v1-v1.multiclass/train/C6_jpg.rf.05217144d8c28d1ff7f060bf3210ed2d.jpg
P5_jpg.rf.046a96e022a22cdaf46af39f9b5ddcee.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,./American Sign Language Letters.v1-v1.multiclass/train/P5_jpg.rf.046a96e022a22cdaf46af39f9b5ddcee.jpg
T19_jpg.rf.050433a13afd1405f4c96062585d84d3.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,T,./American Sign Language Letters.v1-v1.multiclass/train/T19_jpg.rf.050433a13afd1405f4c96062585d84d3.jpg
D18_jpg.rf.0453a37b304e0dd33a3bd6eaebc34e42.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,./American Sign Language Letters.v1-v1.multiclass/train/D18_jpg.rf.0453a37b304e0dd33a3bd6eaebc34e42.jpg
F26_jpg.rf.04b690cb8e2f6349e6e2091dc246230b.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,./American Sign Language Letters.v1-v1.multiclass/train/F26_jpg.rf.04b690cb8e2f6349e6e2091dc246230b.jpg
O9_jpg.rf.055425e3503991ffaf8f801a61986924.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,./American Sign Language Letters.v1-v1.multiclass/train/O9_jpg.rf.055425e3503991ffaf8f801a61986924.jpg
X22_jpg.rf.05732e3e92b7d7abbba7c3eb54b022b8.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,X,./American Sign Language Letters.v1-v1.multiclass/train/X22_jpg.rf.05732e3e92b7d7abbba7c3eb54b022b8.jpg
L13_jpg.rf.05678eea40bbd755e5a00a3f13fe7a6b.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,./American Sign Language Letters.v1-v1.multiclass/train/L13_jpg.rf.05678eea40bbd755e5a00a3f13fe7a6b.jpg
T6_jpg.rf.057836f5c842cf3781bf2bf3183ea5fc.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,T,./American Sign Language Letters.v1-v1.multiclass/train/T6_jpg.rf.057836f5c842cf3781bf2bf3183ea5fc.jpg
L6_jpg.rf.05806c4c18c8f9b2906f34ac24c81b42.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,./American Sign Language Letters.v1-v1.multiclass/train/L6_jpg.rf.05806c4c18c8f9b2906f34ac24c81b42.jpg
P21_jpg.rf.05b6ba0dcac40daddf8d8f206c85e20f.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,./American Sign Language Letters.v1-v1.multiclass/train/P21_jpg.rf.05b6ba0dcac40daddf8d8f206c85e20f.jpg
B7_jpg.rf.0616aa49d62abc241f6c54b00bcbd9f7.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,./American Sign Language Letters.v1-v1.multiclass/train/B7_jpg.rf.0616aa49d62abc241f6c54b00bcbd9f7.jpg
I4_jpg.rf.062ccd81c673900bff7ea0de9a398daa.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,./American Sign Language Letters.v1-v1.multiclass/train/I4_jpg.rf.062ccd81c673900bff7ea0de9a398daa.jpg
D16_jpg.rf.06a330daa452111410a8420e21ae1657.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,./American Sign Language Letters.v1-v1.multiclass/train/D16_jpg.rf.06a330daa452111410a8420e21ae1657.jpg
S26_jpg.rf.06beeb7d442a1a2fd82c42b68ce5f277.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,./American Sign Language Letters.v1-v1.multiclass/train/S26_jpg.rf.06beeb7d442a1a2fd82c42b68ce5f277.jpg
W12_jpg.rf.06c9bdac7028db273c39d69e1fa89531.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,W,./American Sign Language Letters.v1-v1.multiclass/train/W12_jpg.rf.06c9bdac7028db273c39d69e1fa89531.jpg
E22_jpg.rf.06b172de18720018813b70f96e127dfa.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,./American Sign Language Letters.v1-v1.multiclass/train/E22_jpg.rf.06b172de18720018813b70f96e127dfa.jpg
Q19_jpg.rf.06cebf7b976387ce82ab489130cec519.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,./American Sign Language Letters.v1-v1.multiclass/train/Q19_jpg.rf.06cebf7b976387ce82ab489130cec519.jpg
N12_jpg.rf.07b2230fdf996de3c8428f58a8d22a3e.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,./American Sign Language Letters.v1-v1.multiclass/train/N12_jpg.rf.07b2230fdf996de3c8428f58a8d22a3e.jpg
J18_jpg.rf.06e1abf3eae85a7bb86f4bfb7322d055.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,./American Sign Language Letters.v1-v1.multiclass/train/J18_jpg.rf.06e1abf3eae85a7bb86f4bfb7322d055.jpg
Z24_jpg.rf.07aefac43745876d1f4e260afc706b3e.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Z,./American Sign Language Letters.v1-v1.multiclass/train/Z24_jpg.rf.07aefac43745876d1f4e260afc706b3e.jpg
T20_jpg.rf.0812ead96147e8fa4ba6470912a81874.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,T,./American Sign Language Letters.v1-v1.multiclass/train/T20_jpg.rf.0812ead96147e8fa4ba6470912a81874.jpg
F12_jpg.rf.086aa13ff5236066ec979fbb5b90e0a5.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,./American Sign Language Letters.v1-v1.multiclass/train/F12_jpg.rf.086aa13ff5236066ec979fbb5b90e0a5.jpg
E14_jpg.rf.099b7c532a31aed9e59b72301ea13303.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,./American Sign Language Letters.v1-v1.multiclass/train/E14_jpg.rf.099b7c532a31aed9e59b72301ea13303.jpg
F7_jpg.rf.09c9ccc1226c5afeb66e2243ad08abc1.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,./American Sign Language Letters.v1-v1.multiclass/train/F7_jpg.rf.09c9ccc1226c5afeb66e2243ad08abc1.jpg
V24_jpg.rf.09cf35cd5d3b68da6f3dcc34bccb298c.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,V,./American Sign Language Letters.v1-v1.multiclass/train/V24_jpg.rf.09cf35cd5d3b68da6f3dcc34bccb298c.jpg
S25_jpg.rf.09d0d2f747a7b9141a846f0c83dc4883.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,./American Sign Language Letters.v1-v1.multiclass/train/S25_jpg.rf.09d0d2f747a7b9141a846f0c83dc4883.jpg
G10_jpg.rf.09d37c9b35d2d18288601e9af1b0c6aa.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,./American Sign Language Letters.v1-v1.multiclass/train/G10_jpg.rf.09d37c9b35d2d18288601e9af1b0c6aa.jpg
V20_jpg.rf.0a17a5441685a6b0624935542526846b.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,V,./American Sign Language Letters.v1-v1.multiclass/train/V20_jpg.rf.0a17a5441685a6b0624935542526846b.jpg
V18_jpg.rf.0a1f6c6de13a46327284a44ca57dd0e7.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,V,./American Sign Language Letters.v1-v1.multiclass/train/V18_jpg.rf.0a1f6c6de13a46327284a44ca57dd0e7.jpg
T21_jpg.rf.0a29c60282700d02b816c6abad01e527.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,T,./American Sign Language Letters.v1-v1.multiclass/train/T21_jpg.rf.0a29c60282700d02b816c6abad01e527.jpg
J20_jpg.rf.0a223d52fa082ab48c2bdf23aad0ff4d.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,./American Sign Language Letters.v1-v1.multiclass/train/J20_jpg.rf.0a223d52fa082ab48c2bdf23aad0ff4d.jpg
J22_jpg.rf.0a2a945c3728602d25182355cfad1cd6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,./American Sign Language Letters.v1-v1.multiclass/train/J22_jpg.rf.0a2a945c3728602d25182355cfad1cd6.jpg
C12_jpg.rf.0afac9aaffd201400a334cbbf38a518a.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,./American Sign Language Letters.v1-v1.multiclass/train/C12_jpg.rf.0afac9aaffd201400a334cbbf38a518a.jpg
V8_jpg.rf.0b600ef127e6e4b6569dbbb8123ad3a8.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,V,./American Sign Language Letters.v1-v1.multiclass/train/V8_jpg.rf.0b600ef127e6e4b6569dbbb8123ad3a8.jpg
Y6_jpg.rf.0b311cacca85c70b2e58d387a50b8788.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Y,./American Sign Language Letters.v1-v1.multiclass/train/Y6_jpg.rf.0b311cacca85c70b2e58d387a50b8788.jpg
Y14_jpg.rf.0b16d04af40a4ed25e305d03692f4f05.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Y,./American Sign Language Letters.v1-v1.multiclass/train/Y14_jpg.rf.0b16d04af40a4ed25e305d03692f4f05.jpg
A27_jpg.rf.0c350b038342fd2b593f7cc88589e4bf.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,./American Sign Language Letters.v1-v1.multiclass/train/A27_jpg.rf.0c350b038342fd2b593f7cc88589e4bf.jpg
A24_jpg.rf.0c548e55630ab5b3682e8267ad1daba2.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,./American Sign Language Letters.v1-v1.multiclass/train/A24_jpg.rf.0c548e55630ab5b3682e8267ad1daba2.jpg
J21_jpg.rf.0c71cb8778aaf14f83d639c92d8c9c11.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,./American Sign Language Letters.v1-v1.multiclass/train/J21_jpg.rf.0c71cb8778aaf14f83d639c92d8c9c11.jpg
